IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.215.188,8880,8880,false,NRT,Asia Pacific,Tokyo,78,11.71
140.238.38.245,2083,2083,true,NRT,Asia Pacific,Tokyo,142,11.71
158.179.186.234,2096,2096,true,NRT,Asia Pacific,Tokyo,81,11.71
151.145.70.28,2053,2053,true,NRT,Asia Pacific,Tokyo,112,11.70
141.147.183.96,8443,8443,true,NRT,Asia Pacific,Tokyo,78,11.70
158.101.158.251,2096,2096,true,NRT,Asia Pacific,Tokyo,128,11.70
131.186.34.11,2083,2083,true,NRT,Asia Pacific,Tokyo,109,11.70
141.147.92.143,443,443,true,LHR,Europe,London,164,11.67
138.2.20.48,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.67
141.147.189.242,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.66
168.138.206.109,2052,2052,false,NRT,Asia Pacific,Tokyo,102,11.65
158.179.186.138,80,80,false,NRT,Asia Pacific,Tokyo,99,11.64
168.138.213.210,8880,8880,false,NRT,Asia Pacific,Tokyo,104,11.64
140.238.38.245,2053,2053,true,NRT,Asia Pacific,Tokyo,159,11.63
150.230.220.232,2052,2052,false,NRT,Asia Pacific,Tokyo,85,11.63
150.230.99.173,2087,2087,true,NRT,Asia Pacific,Tokyo,111,11.63
158.179.186.138,2052,2052,false,NRT,Asia Pacific,Tokyo,98,11.62
168.138.198.202,2095,2095,false,NRT,Asia Pacific,Tokyo,100,11.62
158.101.159.212,2053,2053,true,NRT,Asia Pacific,Tokyo,111,11.62
150.230.101.13,2052,2052,false,NRT,Asia Pacific,Tokyo,99,11.61
151.145.69.105,8880,8880,false,HKG,Asia Pacific,Hong Kong,147,11.61
168.138.196.164,2086,2086,false,HKG,Asia Pacific,Hong Kong,143,11.60
158.179.189.106,80,80,false,NRT,Asia Pacific,Tokyo,99,11.60
141.147.179.64,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.59
150.230.109.138,2087,2087,true,NRT,Asia Pacific,Tokyo,100,11.58
140.238.33.165,2086,2086,false,NRT,Asia Pacific,Tokyo,96,11.58
150.230.98.39,2052,2052,false,NRT,Asia Pacific,Tokyo,115,11.58
138.2.12.32,2053,2053,true,NRT,Asia Pacific,Tokyo,107,11.58
158.101.133.129,2082,2082,false,NRT,Asia Pacific,Tokyo,78,11.58
138.2.14.209,2087,2087,true,NRT,Asia Pacific,Tokyo,83,11.57
141.148.233.130,443,443,true,FRA,Europe,Frankfurt,215,11.57
168.138.213.210,2052,2052,false,NRT,Asia Pacific,Tokyo,96,11.57
